,,,,
Description,Part #,Main Links (Affiliate),eBay Links (Affiliate),Amazon Links (Affiliate)
PCB,N/A,PCB manufacturer of choice,N/A,N/A
Enclosure,1591BSBK,http://bit.ly/2sKEk3i,https://ebay.to/30SXp05,https://amzn.to/2um65Qa
Speaker,1.5W8R 8R1.5W,http://bit.ly/2upP8nP,https://ebay.to/36eXlbX,N/A
100Ω Resistor 0805,N/A,http://bit.ly/2TKRSqF,https://ebay.to/2ul6eDt,N/A
1kΩ Resistor 0805,N/A,http://bit.ly/36lOaql,https://ebay.to/2TNRTtY,N/A
220uf Electrolytic Capacitor,N/A,http://bit.ly/2RxIeEY,https://ebay.to/2RHrTh0,N/A
4.7uf Ceramic Capacitor,N/A,http://bit.ly/3awu9k3,https://ebay.to/36lOJ3r,N/A
Blue LED 5mm,N/A,http://bit.ly/2GgnU5K,https://ebay.to/37h1f5p,https://amzn.to/37sNP6c
LM386 Audio Amp,LM386,http://bit.ly/2tweNeR,https://ebay.to/2RHXmA1,N/A
SPST Slide Switch THT,SS12F17G4,http://bit.ly/30IrAqm,https://ebay.to/30MXx14,N/A
3.5mm Headphone Jack,307 3F07,http://bit.ly/36hQ5Mu,https://ebay.to/36eJQcm,https://amzn.to/36eYmRj
100mH Inductor,N/A,http://bit.ly/38xpU63,https://ebay.to/36eJQJo,https://amzn.to/2TNTjoi
Felt Tape,JVCC FELT-065,https://ebay.to/2G9WzlS,https://ebay.to/2G9WzlS,https://amzn.to/30JB05h
Battery Compartment Separator,Custom Laser Cut,Drawings on github,N/A,N/A
9v Battery Clip,N/A,http://bit.ly/2RfzFjh,https://ebay.to/2uis6zx,https://amzn.to/2TKSEnB
10KΩ Potentiometer,B103 10K 0932 WH09,http://bit.ly/2ul666X,https://ebay.to/2NRkgno,N/A
Pot Knob 15mm*17mm*6mm,N/A,http://bit.ly/37f6bYo,https://ebay.to/37jvYim,https://amzn.to/2GawAur
Terminal Block Connector,KF301-5.0-2P,http://bit.ly/38xsJnF,https://ebay.to/3avkOZG,https://amzn.to/369tQZ2
